X,Y,OBJECTID,Join_Count,TARGET_FID,Join_Count_1,Incident_No,Time_Begun,UCR_No,HPD_Beat,HPD_District,Offense,Address_Range,Premise_Type,X_Coord,Y_Coord,Zip_Code,Time_Frame,SNB_No,SNB_Name,Council_District,HPD_Division
-95.18131061,29.5845365,3001,1,3001,1,12730219,2019-01-29T23:30:00.000Z,3001,12D40,12,Robbery,15600-15699 GULF ,Apartment Parking Lot,3181962.324,13779888.61,77598,3,80,SOUTH BELT / ELLINGTON,E,Clear Lake Division
-95.50880613,29.85115568,3002,1,3002,1,10474019,2019-01-24T18:40:00.000Z,6074,5F30,5,Theft,13400-13499 NORTHWEST ,Department or Discount St,3075033.142,13873544.17,77040,3,4,FAIRBANKS / NORTHWEST CROSSING,A,Northwest Division
-95.28371974,29.83469591,3003,1,3003,1,10480919,2019-01-24T02:00:00.000Z,6141,8C30,8,Theft,7900-7999 DARLINGTON,Residence or House,3146540.941,13869759.97,77028,3,49,EAST HOUSTON,B,Northeast Division
-95.60296948,29.68441907,3004,1,3004,1,10874819,2019-01-25T15:00:00.000Z,6191,19G40,19,Theft,12600-12699 NEWBROOK,Residence or House,3046957.561,13812059.35,77072,3,25,ALIEF,F,Westside Division
-95.32285513,29.67219338,3005,1,3005,1,13095419,2019-01-30T06:00:00.000Z,5021,14D30,14,Burglary,6100-6199 DOULTON,Residence or House,3135997.006,13810305.48,77033,3,72,SOUTH PARK,D,Southeast Division
-95.42488812,29.72537153,3006,0,3006,0,19307019,2019-02-13T08:00:00.000Z,5021,1A50,1,Burglary,3000-3099 BISSONNET,Apartment,3103020.709,13828629.13,77005,3,,,C,
-95.23909425,30.02868503,3007,1,3007,1,16153019,2019-01-29T00:30:00.000Z,3004,24C10,24,Robbery,900-999 FOREST COVE,Other Parking Lot,3158413.911,13940720.75,77339,3,43,KINGWOOD AREA,E,Kingwood Division
-95.42014188,29.73405366,3008,1,3008,1,16743319,2019-02-07T18:00:00.000Z,6141,1A30,1,Theft,2700-2799 RICHMOND,Restaurant or Cafeteria P,3104429.778,13831830.83,77098,3,87,GREENWAY / UPPER KIRBY AREA,C,Central Division
-95.38742914,29.68148238,3009,1,3009,1,16745619,2019-02-01T20:30:00.000Z,6192,1.50E+41,15,Theft,8300-8399 EL MUNDO,Apartment Rental Office,3115397.002,13813042.63,77054,3,34,ASTRODOME AREA,D,Southwest Division
-95.3865128,29.72144028,3010,1,3010,1,17424019,2019-02-09T10:00:00.000Z,6141,10H70,10,Theft,1500-1599 HERMANN,Commercial Parking Lot or,3115238.956,13827574.55,77004,3,33,MEDICAL CENTER AREA,D,South Central Division
-95.39743208,29.9278857,3011,1,3011,1,16736519,2019-02-07T01:00:00.000Z,6151,22B30,22,Theft,300-399 SADDLE HORN,Residence or House,3109462.665,13902504.33,77060,3,2,GREATER GREENSPOINT,B,North Belt Division
-95.32937678,29.78400306,3012,1,3012,1,17411019,2019-02-08T08:00:00.000Z,5031,7C20,7,Burglary,2400-2499 LEFFINGWELL,Residence or House,3132651.191,13850878,77026,3,55,GREATER FIFTH WARD,B,Northeast Division
-95.49463349,29.73293456,3013,1,3013,1,19271719,2019-02-13T14:00:00.000Z,6003,18F30,18,Theft,6300-6399 FAIRDALE,"Road, Street, or Sidewalk",3080812.144,13830708.07,77057,3,20,MID WEST,J,Midwest Division
-95.50608821,29.86278196,3014,1,3014,1,17402519,2019-02-05T18:30:00.000Z,6031,5F30,5,Theft,7000-7099 HOLLISTER,Apartment Parking Lot,3075768.039,13877795.86,77040,3,4,FAIRBANKS / NORTHWEST CROSSING,A,Northwest Division
-95.43737975,29.68029244,3015,1,3015,1,17405419,2019-02-09T10:09:00.000Z,5022,1.50E+31,15,Burglary,3700-3799 WOODVALLEY,Residence or House,3099557.139,13812123.68,77025,3,32,BRAESWOOD,K,Southwest Division
-95.34882832,29.77159559,3016,1,3016,1,17402019,2019-02-08T15:00:00.000Z,6141,7C10,7,Theft,2000-2099 LYONS,Commercial Parking Lot or,3126624.924,13846175.28,77020,3,55,GREATER FIFTH WARD,H,Northeast Division
-95.30572676,29.81712823,3017,1,3017,1,21052719,2019-02-17T14:04:00.000Z,4042,8C20,8,Aggravated Assault,6700-6799 BENNINGTON,Apartment,3139768.939,13863153.79,77028,2,48,TRINITY / HOUSTON GARDENS,B,Northeast Division
-95.55321275,29.68827612,3018,1,3018,1,16086819,2019-01-30T18:00:00.000Z,3001,19G10,19,Robbery,10300-10399 CLUB CREEK,"Road, Street, or Sidewalk",3062707.955,13813923.46,77036,3,29,WESTWOOD,J,Westside Division
-95.53412534,29.67334331,3019,1,3019,1,17408619,2019-02-08T21:30:00.000Z,5071,1.70E+31,17,Burglary,9000-9099 S BRAESWOOD,"Other, Unknown, or Not Li",3068926.505,13808674.94,77074,3,30,BRAEBURN,J,South Gessner Division
-95.38031318,29.81372342,3020,1,3020,1,17394719,2019-02-09T09:31:00.000Z,5061,2A20,2,Burglary,1400-1499 N LOOP,Rental Storage Facility,3116167.318,13861176.81,77009,3,15,GREATER HEIGHTS,H,Central Division
-95.42929262,29.80983021,3021,1,3021,1,17496119,2019-02-09T13:45:00.000Z,6141,2A60,2,Theft,2600-2699 ELLA,Restaurant or Cafeteria P,3100685.879,13859284.34,77008,3,15,GREATER HEIGHTS,C,Central Division
-95.51734344,29.67261243,3022,1,3022,1,14756919,2019-02-03T14:35:00.000Z,10,1.70E+21,17,Murder,7900-7999 S BRAESWOOD,Residence or House,3074261.144,13808567.59,77071,3,36,BRAYS OAKS,K,South Gessner Division
-95.14564607,29.54341185,3023,1,3023,1,10882919,2019-01-25T08:00:00.000Z,6143,12D70,12,Theft,700-799 BAYBROOK MALL,Mall Parking Lot,3193784.05,13765314.87,77546,3,81,CLEAR LAKE,E,Clear Lake Division
-95.45350183,29.81411466,3024,1,3024,1,10393219,2019-01-24T12:00:00.000Z,6141,3B10,3,Theft,4300-4399 SHERWOOD,Apartment Parking Lot,3092964.86,13860608.06,77092,3,14,LAZYBROOK / TIMBERGROVE,A,North Division
-95.49521569,29.70892855,3025,1,3025,1,19245219,2019-02-13T09:32:00.000Z,3002,1.70E+11,17,Robbery,6500-6599 DUNLAP,Apartment Parking Lot,3080889.019,13821977.11,77074,3,26,SHARPSTOWN,J,South Gessner Division
-95.41866694,29.73262102,3026,1,3026,1,9088519,2019-01-21T16:55:00.000Z,6193,1A30,1,Theft,3800-3899 KIRBY,Restaurant or Cafeteria,3104913.595,13831324.45,77098,3,87,GREENWAY / UPPER KIRBY AREA,C,Central Division
-95.43193812,29.77335032,3027,1,3027,1,11741519,2019-01-27T17:00:00.000Z,6141,2A50,2,Theft,6700-6799 HASKELL,"Field, Woods, Forest, Par",3100251.973,13845999.42,77007,3,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK,C,Central Division
-95.49740343,29.61037212,3028,1,3028,1,11691219,2019-01-27T15:09:00.000Z,6141,1.60E+41,16,Theft,14500-14599 LONE WILLOW,Driveway,3081268.008,13786134.73,77489,3,41,FORT BEND HOUSTON,K,Southwest Division
